timestamp,second,mobs_spawned,hits,fps
1709287715811752,1,15,0,121
1709287716799495,2,30,0,118
1709287717797132,3,45,1,118
1709287718799613,4,60,1,120
1709287719798823,5,75,8,120
1709287720799268,6,90,10,120
1709287721800461,7,105,14,120
1709287722800660,8,120,15,119
1709287723800933,9,135,22,120
1709287724800179,10,150,25,120
1709287725800934,11,165,29,120
1709287726802180,12,180,32,119
1709287727803380,13,195,32,119
1709287728803782,14,210,41,119
1709287729803953,15,225,44,119
1709287730802095,16,240,46,119
1709287731802015,17,255,54,119
1709287732803139,18,270,67,119
1709287733792946,19,285,72,118
1709287734797017,20,300,76,118
1709287735794261,21,315,91,119
1709287736795055,22,330,99,119
1709287737795582,23,345,105,119
1709287738796194,24,360,112,119
1709287739796693,25,375,121,118
1709287740797172,26,390,138,118
1709287741797736,27,405,150,119
1709287742793653,28,420,160,116
1709287743798844,29,435,177,120
1709287744801254,30,450,190,119
1709287745800164,31,465,200,118
1709287746793428,32,480,210,117
1709287747794936,33,495,230,119
1709287748795002,34,510,249,119
1709287749796060,35,525,263,119
1709287750796225,36,540,272,119
1709287751796611,37,555,290,119
1709287752789073,38,570,315,116
1709287753798600,39,585,327,119
1709287754798441,40,600,340,118
1709287755791222,41,615,388,118
1709287756799010,42,630,418,119
1709287757793026,43,645,442,105
1709287758787528,44,660,456,113
1709287759807277,45,675,481,116
1709287760800778,46,690,504,100
1709287761808424,47,705,508,116
1709287762792235,48,720,516,92
1709287763793928,49,735,536,94
1709287764798254,50,750,556,91
1709287765802493,51,765,573,90
1709287766808652,52,780,589,89
1709287767809660,53,795,615,94
1709287768808325,54,810,632,91
1709287769814111,55,825,648,88
1709287770821923,56,840,662,87
1709287771801720,57,855,682,84
1709287772812705,58,870,705,78
1709287773798610,59,885,711,79
1709287774801444,60,900,733,77
1709287775807230,61,915,764,74
1709287776799928,62,930,784,55
1709287777812627,63,945,794,60
1709287778810556,64,960,815,59
1709287779793679,65,975,825,56
1709287780814226,66,990,836,60
1709287781804286,67,1005,846,56
1709287782798407,68,1020,866,56
1709287783803129,69,1035,893,59
1709287784826131,70,1050,917,56
1709287785802880,71,1065,929,52
1709287786818582,72,1080,953,53
1709287787808765,73,1095,977,48
1709287788831202,74,1110,999,52
1709287789808160,75,1125,1013,48
1709287790831328,76,1140,1024,47
1709287791822527,77,1155,1040,40
1709287792834681,78,1170,1057,38
1709287793823615,79,1185,1067,35
1709287794819298,80,1200,1090,40
1709287795808693,81,1215,1121,32
1709287796827612,82,1230,1139,35
1709287797857469,83,1245,1145,30
1709287798861569,84,1260,1157,25
1709287799871590,85,1275,1179,23
1709287800875280,86,1290,1195,20
1709287801873158,87,1305,1209,16
